Name,Location,Latitude,Longitude,Elevation,Morphology,Status,Time of Last Eruption,OBJECTID,ID,Country,OID,x,y
Wetar,Banda Sea,-6.642,126.65,282,Stratovolcano,Historical,D5,1882,60503,Pacific Ocean,183,14098613.5089681,-741045.685218443
Hachijojima,Izu Is-Japan,33.137,139.766,854,Stratovolcano,Historical,D5,1883,80405,Japan,184,15558679.9502127,3913502.57241431
Hachimantai,Honshu-Japan,39.958,140.854,1613,Stratovolcano,Holocene,Unknown,1884,80325,Japan,185,15679795.5561958,4859840.82970297
Hakkodasan,Honshu-Japan,40.659,140.877,1585,Stratovolcano,Holocene,U,1885,80328,Japan,186,15682355.904484,4962173.60959773
Hakoneyama,Honshu-Japan,35.233,139.021,1438,Complex volcano,Radiocarbon,D7,1886,80302,Japan,187,15475746.9295717,4195590.16762481
Hakusan,Honshu-Japan,36.155,136.771,2702,Stratovolcano,Historical,D5,1887,80305,Japan,188,15225278.0752868,4321970.14630775
Haleakala,Hawaiian Is,20.708,-156.25,3055,Shield volcano,Historical,D4,1888,130206,United States,189,-17393670.436449,2357094.57046403
Halla,Korea,33.361,126.53,1919,Shield volcano,Historical,D6,1889,100604,South Korea,190,14085255.1700729,3943319.29240537
Hanish,Red Sea,13.72,42.73,422,Shield volcano,Holocene,U,1890,201022,Yemen,192,4756681.84159658,1542112.30745588
Hargy,New Britain-SW Pac,-5.33,151.1,1148,Stratovolcano,Radiocarbon,D6,1891,50210,Papua New Guinea,193,16820375.0588636,-594190.51056931
Harunasan,Honshu-Japan,36.477,138.851,1449,Stratovolcano,Anthropology,D6,1892,803122,Japan,195,15456822.6161368,4366455.90366877
Hasandag-Keciboyduran,Turkey,38.13,34.17,3253,Stratovolcano,Holocene,U,1893,103002,Turkey,196,3803787.00040616,4597806.76524309
Hayes,Alaska-SW,61.64,-152.411,3034,Stratovolcano,Radiocarbon,D6,1894,110305,United States,198,-16966314.9112936,8774280.69947361
"Haylan, Jabal",Arabia-S,15.4,45.1,1550,Volcanic field,Anthropology,D7,1895,30111,Yemen,199,5020509.03477664,1735342.25256571
Hayli Gubbi,Africa-NE,13.51,40.722,493,Shield volcano,Holocene,U,1896,201091,Ethiopia,200,4533152.30408369,1518059.29588561
Heard,Indian O-S,-53.106,73.513,2745,Stratovolcano,Historical,D1,1897,30401,Heard I. & McDonald Is.,201,8183429.72668592,-7002629.17083491
Heart Peaks,Canada,58.6,-131.97,2012,Shield volcano,Holocene,U,1898,120004,Canada,202,-14690833.1999883,8094429.24465879
Hekla,Iceland-S,63.983,-19.666,1490,Stratovolcano,Historical,D1,1899,170207,Iceland,203,-2189209.10594052,9345448.5251813
Hell's Half Acre,US-Idaho,43.492,-112.45,1632,Shield volcano,Radiocarbon,D7,1900,120404,United States,205,-12517876.7397036,5388389.27281933
Hengill,Iceland-SW,64.083,-21.416,803,Crater rows,Radiocarbon,D6,1901,170105,Iceland,206,-2384018.21482875,9370872.47359901
Herbert,Aleutian Is,52.742,-170.111,1280,Stratovolcano,Holocene,U,1902,110122,United States,207,-18936669.8983346,6935416.76494584
Hertali,Africa-NE,9.78,40.33,900,Fissure vent,Holocene,U,1903,201171,Ethiopia,208,4489515.06369272,1094030.23829538
Camiguin,Mindanao-Philippines,9.203,124.673,1552,Stratovolcano,Historical,D2,1904,70108,Philippines,209,13878534.8756698,1028907.07434589
Hierro,Canary Is,27.73,-18.03,1500,Shield volcano,Historical,D4,1905,180302,Spain,210,-2007090.41900272,3214975.41690346
Hijiori,Honshu-Japan,38.599,140.162,552,Caldera,Radiocarbon,D7,1906,803191,Japan,211,15602762.4685668,4664393.45511634
Hiri,Halmahera-Indonesia,0.9,127.32,630,Stratovolcano,Holocene,U,1907,608052,Indonesia,212,14173197.5677996,100191.662015621
Hiuchigatake,Honshu-Japan,36.955,139.285,2356,Stratovolcano,Historical,D5,1908,803131,Japan,213,15505135.2751411,4432836.22233435
Hodson,Antarctica,-56.712,-27.176,835,Stratovolcano,Holocene,U,1909,190011,Antarctica,215,-3025218.481798,-7701480.37117705
Hofsjokull,Iceland-SW,64.833,-18.766,1765,Subglacial volcano,Holocene,U,1910,170109,Iceland,216,-2089021.56422657,9564519.82779796
Homa Mountain,Africa-E,-0.38,34.5,1751,Complex volcano,Holocene,U,1911,20207,Kenya,217,3840522.43236794,-42301.7166217918
Home Reef,Tonga-SW Pacific,-18.992,-174.775,-10,Submarine volcano,Historical,D1,1912,40308,Tonga,218,-19455864.0033944,-2153994.0673579
Honggeertu,China-E,41.59,113.111,1605,Cinder cone,Holocene,Unknown,1913,100501,China,219,12591458.923118,5099759.92316769
Hood,US-Oregon,45.374,-121.695,3426,Stratovolcano,Historical,D3,1914,120201,United States,220,-13547025.4320874,5680593.55980305
Hoodoo Mountain,Canada,56.78,-131.28,1850,Subglacial volcano,Holocene,U,1915,120008,Canada,221,-14614022.751341,7715284.88587053
Hornopiren,Chile-S,-41.874,-72.431,1572,Stratovolcano,Holocene,Unknown,1916,1508023,Chile,222,-8062982.0376476,-5142123.90162625
Hualalai,Hawaiian Is,19.692,-155.87,2523,Shield volcano,Historical,D3,1917,130204,United States,223,-17351369.0299476,2236579.57144941
Huanquihue Group,Argentina,-39.887,-71.58,2189,Pyroclastic cone,Holocene,U,1918,1507123,Argentina,224,-7968249.15098252,-4849534.98922248
Huaynaputina,Peru,-16.614,-70.854,4679,Stratovolcano,Historical,D5,1919,150403,Peru,225,-7886985.92270343,-1875241.23994014
